GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
MSH2,"Colorectal cancer, hereditary nonpolyposis, type 1 (Lynch syndrome I); Endometrial cancer; Mismatch repair cancer syndrome 2; Muir-Torre syndrome",AD/AR,"Adult (Colorectal cancer, hereditary nonpolyposis, type 1; Endometrial cancer; Muir-Torre syndrome)/Pediatric (Mismatch repair cancer syndrome)",Dermatologic; Oncologic,"In HNPCC, For surveillance, colonoscopy with polyp removal is indicated starting at (whichever is earlier) age 20-25 years or 10 years prior to the earliest familial diagnosis; Prophylactic Hysterectomy with bilateral oophorectomy may be considered after childbearing is completed; For individuals with colon cancer, surgical treatment with full colectomy (and ileorectal anastomosis) is recommended; Cigarette smoking should be avoided; For other tumor types (individuals may be at risk for a number of cancer types), awareness of cancer risk may allow early diagnosis and treatment, which may reduce morbidity and mortality; Individuals with Mismatch repair cancer syndrome are at risk of multiple types of malignancy, and awareness may allow early detection and management",6020987; 5684233; 4016686; 2029018; 8484121; 8252616; 8261515; 8484120; 8072530; 8931714; 9218993; 9593786; 9634524; 9843200; 10534628; 10190329; 10196371; 11600610; 11112663; 11809679; 12549480; 12650804; 14574010; 14994245; 15520370; 14871915; 15235030; 15872208; 15662714; 15937084; 16807412; 16372347; 16511680; 17539897; 17327285; 19419416; 20093870; 20301390; 20591884; 23612316; 23729658; 23891921; 23990280; 24434690
MSH3,Endometrial carcinoma,AD,Adult,Oncologic,"In HNPCC, for surveillance, colonoscopy with polyp removal is indicated starting at (whichever is earlier) age 20-25 years or 10 years prior to the earliest familial diagnosis; Prophylactic Hysterectomy with bilateral oophorectomy may be considered after childbearing is completed; For individuals with colon cancer, surgical treatment with full colectomy (and ileorectal anastomosis) is recommended; Cigarette smoking should be avoided; For other tumor types (individuals may be at risk for a number of cancer types), awareness of cancer risk may allow early diagnosis and treatment, which may reduce morbidity and mortality; Individuals with Mismatch repair cancer syndrome are at risk of multiple types of malignancy, and awareness may allow early detection and management",9354786; 12732731; 15098177; 15340263; 16000562; 16283678; 17557300; 24434690
MSH5,Premature ovarian failure 13,AR,Pediatric,Endocrine; Obstetric,Genetic knowledge may be beneficial to allow interventions such as preserving eggs in women with premature ovarian insufficiency,28175301
MSH6,"Colorectal cancer, hereditary nonpolyposis type 5; Mismatch repair cancer syndrome 3; Endometrial cancer",AD/AR,"Adult (Colorectal cancer, hereditary nonpolyposis type 5; Endometrial cancer)/Pediatric (Mismatch repair cancer syndrome)",Oncologic,"In HNPCC, for surveillance, colonoscopy with polyp removal is indicated starting at (whichever is earlier) age 20-25 years or 10 years prior to the earliest familial diagnosis; Prophylactic Hysterectomy with bilateral oophorectomy may be considered after childbearing is completed; For individuals with colon cancer, surgical treatment with full colectomy (and ileorectal anastomosis) is recommended; Cigarette smoking should be avoided; For other tumor types, awareness of cancer risk may allow early diagnosis and treatment, which may reduce morbidity and mortality; Individuals with Mismatch repair cancer syndrome are at risk of multiple types of malignancy, and awareness may allow early detection and management",9354786; 12732731; 15098177; 15340263; 16000562; 16283678; 17557300; 29345684
MSL3,Basilicata-Akhtar syndrome,XL,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",30224647
MSMO1,"Microcephaly, congenital cataract, and psoriasiform dermatitis",AR,Pediatric,Allergy/Immunology/Infectious; Biochemical; Dermatologic; Musculoskeletal; Neurologic; Ophthalmologic,"Medical management (with oral and topical cholesterol and statin supplements,) has been described as beneficial in terms of laboratory (eg, immunocyte profiles) and clinical parameters (eg, growth, arthralgias, skin disease)",21285510; 24144731
MSN,Immunodeficiency 50,XL,Pediatric,Allergy/Immunology/Infectious,"Individuals have been described with early onset and recurrent bacterial or varicella zoster virus infections, and awareness may allow preventive measures and early and aggressive treatments of infections",27405666
MSR1,Barrett esophagus/esophageal adenocarcinoma; Prostate cancer,AD,Adult,Gastrointestinal; Oncologic,"Awareness of disease risk may allow surveillance, preventive measures (eg, related to Barrett esophagus) and early treatment of malignancy, which may reduce morbidity and mortality",11443539; 12244320; 12839931; 12958598; 15536476; 16287155; 17768178; 17903305; 18398045; 20086112; 21791690
MSRB3,"Deafness, autosomal recessive 74",AR,Pediatric,Audiologic/Otolaryngologic,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",19650862; 21185009
MSTN,Muscle hypertrophy,AR,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",15215484
MSTO1,"Myopathy, mitochondrial, and ataxia",AD/AR,N/A,Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",28544275; 28554942
MSX1,"Orofacial cleft 5; Tooth agenesis, selective, 1, with/without orofacial cleft; Witkop syndrome",AD,N/A,Craniofacial; Dental; Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8696335; 10742093; 11369996; 12097313; 12807959; 15264286; 15354328; 16327884; 16498076; 16868654; 16932841; 18374898; 19346736; 21297014; 21626677; 22297032 
MSX2,Craniosynostosis 2; Parietal foramina with cleidocranial dysplasia; Parietal foramina 1,AD,N/A,Craniofacial; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8106171; 8357019; 10742103; 14571277; 16222674; 16319823; 16642368; 17955513; 18000908; 19533795; 21082653 
MT-ATP6,"Myopathy, lactic acidosis, and sideroblastic anemia 3",Maternal,N/A,Audiologic/Otolaryngologic; Biochemical; Cardiovascular; Hematologic; Musculoskeletal; Neurologic; Ophthalmologic,"Among other manifestations, the conditions can involve transfusion-dependent anemia, and awareness may allow early management; Surveillance for cardiovascular manifestations may allow early medical interventions",2137962; 1436530; 1550128; 8095070; 8250532; 8042671; 8554662; 7726182; 7668837; 8739943; 9199572; 9329425;  9501263; 9631394; 9556461; 10417290; 10590437; 10604142; 10676807; 11245730; 11730668; 11843698; 17452590; 19124644; 19188198; 22231385; 22577227; 22773856; 25037980
MT-ATP8,"Brain pseudoatrophy, reversible, valproate-induced, susceptibility to",Maternal,Pediatric,Biochemical; Cardiovascular; Neurologic,Medication selection would be impacted in individuals with variants,17101920; 17954552; 19188198
MT-CO1,"Deafness, mitochondrial",Maternal,Pediatric,Audiologic/Otolaryngologic; Biochemical; Hematologic; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Mitochondrial variants may involve a variety of sequelae, including hearing impairment, with highly variable age of onset, and for individuals with early-onset hearing impairment, early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; Aminoglycosides should be avoided",1634041; 10577941; 10980727; 12140182
MT-CO2,Cytochrome c oxidase deficiency,Maternal,N/A,Biochemical; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10205264
MT-CO3,"Myoglobinuria, recurrent",Maternal,N/A,Biochemical; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8240356; 8630495; 10788526; 11063732
MT-ND1,"Deafness, mitochondrial",Maternal,Pediatric,Audiologic/Otolaryngologic; Biochemical; Musculoskeletal; Neurologic; Ophthalmologic,"Mitochondrial variants may involve a variety of sequelae, including hearing impairment, with highly variable age of onset, and for individuals with early-onset hearing impairment, early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",1928099; 2018041; 1674640; 1732158; 10519336; 15466014; 15505787; 17562939; 18216301; 21625124; 21723259; 21968326; 22079202; 22241583; 22577081
MT-ND2,Leber hereditary optic neuropathy; Mitochondrial complex I deficiency,Maternal,N/A,Biochemical; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",1732158; 20454697; 21145289 
MT-ND3,"Leber optic atrophy and dystonia; Mitochondrial complex I deficiency, mitochondrial type 1",Maternal,N/A,Biochemical; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",14705112; 19458970
MT-ND4,Leber hereditary optic neuropathy; Leber optic atrophy and dystonia; Mitochondrial complex I deficiency,Maternal,N/A,Biochemical; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",201231; 2566116; 1763894; 2039048; 8644732; 18216301; 32516135
MT-ND4L,Leber hereditary optic neuropathy,Maternal,N/A,Biochemical; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",11935318
MT-ND5,"Myoclonic epilepsy with ragged red fibers; Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Leber hereditary optic neuropathy; Mitochondrial complex I deficiency",Maternal,N/A,Biochemical; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",1900003; 1732158; 8213825; 8016139; 18524835
MT-ND6,"Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Oncocytoma; Leber hereditary optic neuropathy; Leber optic atrophy and dystonia; Mitochondrial complex I deficiency",Maternal,N/A,Biochemical; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",3736869; 1417830; 8016139; 8644732; 11781695; 14735585; 16380132; 18524835; 21555623
